date,train_id,depot,rs_days_from_plan,sig_days_from_plan,tel_days_from_plan,job_open_count,job_critical_count,branding_req_hours,branding_alloc_hours,mileage_km,bogie_wear_index,cleaning_slot,stabling_position,estimated_shunting_mins,prev_night_shunting_count,iot_temp_avg_c,hvac_alert,last_maintenance_date,predicted_failure_risk,manual_override_flag,assigned_status
2025-08-22,KM-T125,Pettah Depot,35,27,36,1,1,3.9,3.585865390724905,1815,0.1379840006388306,Night-B,Bay-12,16,1,26.6,0,2025-05-07,0.218,0,IBL
2025-08-22,KM-T126,Tripunithura Depot,8,19,34,0,0,2.2,0.534456789987025,1901,0.48722086440866286,No-Clean,Bay-2,27,1,23.74,0,2025-07-03,0.221,0,Service
2025-08-22,KM-T127,Tripunithura Depot,53,21,18,1,1,9.3,2.019191171239916,1471,0.017302748029247167,Night-A,Bay-3,25,2,28.61,0,2025-06-02,0.176,0,IBL
2025-08-22,KM-T128,Pettah Depot,0,20,17,1,0,12.8,9.129776757856488,950,0.3469316801515985,No-Clean,Bay-8,53,1,26.53,0,2025-08-09,0.171,0,Service
2025-08-22,KM-T129,Pettah Depot,46,32,12,1,0,11.8,3.9085208247785816,1908,0.328009413014397,Night-A,Bay-1,20,1,23.83,0,2025-05-15,0.165,0,Standby
2025-08-22,KM-T130,Pettah Depot,20,52,12,0,0,9.1,7.2316888012409155,1436,0.18698205013154975,Night-B,Bay-6,17,0,26.27,0,2025-05-20,0.115,0,Standby
2025-08-22,KM-T131,Tripunithura Depot,32,40,16,3,0,7.6,14.217752695876051,1796,0.08926950536178593,Night-A,Bay-10,22,2,27.21,0,2025-08-17,0.081,0,Service
2025-08-22,KM-T132,Pettah Depot,49,13,27,2,0,6.6,4.110606940350694,1300,0.19813608606979088,Night-B,Bay-12,23,1,27.17,1,2025-05-30,0.119,0,Standby
2025-08-22,KM-T133,Pettah Depot,43,28,26,2,1,14.4,9.553566385449471,1094,0.02248932839700922,No-Clean,Bay-7,16,0,27.08,0,2025-06-14,0.178,1,IBL
2025-08-22,KM-T134,Tripunithura Depot,11,16,23,3,0,5.0,4.1940899928983075,1975,0.35162858006903946,Night-B,Bay-4,52,1,25.6,0,2025-06-16,0.173,0,Service
2025-08-22,KM-T135,Tripunithura Depot,56,42,-2,1,0,14.5,10.865524029234342,1739,0.22624477747614385,Night-A,Bay-8,54,0,27.19,0,2025-06-08,0.279,0,IBL
2025-08-22,KM-T136,Tripunithura Depot,53,36,9,0,0,1.7,13.334249738927012,1569,0.14502809125152877,Night-A,Bay-6,55,1,27.79,0,2025-07-02,0.101,0,Standby
2025-08-22,KM-T137,Tripunithura Depot,24,6,-1,3,1,14.6,3.7775872215444344,818,0.0693115441918314,Night-A,Bay-11,12,1,27.78,0,2025-05-23,0.344,0,IBL
2025-08-22,KM-T138,Pettah Depot,7,3,0,1,0,7.5,8.85304137126656,1064,0.36546780708405313,No-Clean,Bay-2,6,1,28.64,0,2025-08-22,0.328,0,Standby
2025-08-22,KM-T139,Pettah Depot,12,40,17,4,1,8.8,4.605501810611491,1899,0.2844670112432677,Night-A,Bay-3,26,4,28.47,0,2025-04-29,0.27,0,IBL
2025-08-22,KM-T140,Pettah Depot,40,18,20,3,0,4.2,6.0710751158251295,1256,0.043304870572416686,Night-B,Bay-9,3,2,26.18,0,2025-04-25,0.065,1,Standby
2025-08-23,KM-T101,Pettah Depot,5,28,19,0,0,15.5,15.245914518439701,2151,0.16477971195935956,Night-B,Bay-12,25,1,26.36,0,2025-08-08,0.108,0,Service
2025-08-23,KM-T102,Tripunithura Depot,29,-2,9,1,0,1.0,14.990870447347834,1958,0.14428869307442624,No-Clean,Bay-12,18,1,26.99,0,2025-08-21,0.101,0,Service
2025-08-23,KM-T103,Pettah Depot,18,24,13,2,0,5.2,9.84600728867682,2178,0.2738545965281037,No-Clean,Bay-5,30,1,27.13,0,2025-07-09,0.146,0,Standby
2025-08-23,KM-T104,Tripunithura Depot,14,34,28,1,0,5.7,3.169022001155589,2094,0.18855672135315857,No-Clean,Bay-8,36,0,29.59,0,2025-05-16,0.116,0,Standby
2025-08-23,KM-T105,Tripunithura Depot,35,50,15,2,0,0.4,1.415658592174379,2363,0.2354208366161369,Night-B,Bay-5,18,1,24.76,0,2025-06-25,0.132,0,Service
2025-08-23,KM-T106,Tripunithura Depot,-2,39,14,1,1,6.7,14.419741342863967,1625,0.14187951186550665,Night-A,Bay-9,8,0,25.47,0,2025-06-22,0.22,0,IBL
2025-08-23,KM-T107,Pettah Depot,37,20,18,2,0,15.5,15.217625325145905,1215,0.3299982511740951,Night-A,Bay-11,25,0,30.69,0,2025-05-18,0.165,0,Standby
2025-08-23,KM-T108,Tripunithura Depot,-21,49,41,0,0,5.9,4.703454895002647,2160,0.1360258614049943,No-Clean,Bay-1,25,2,25.2,0,2025-05-25,0.098,0,IBL
2025-08-23,KM-T109,Pettah Depot,6,31,4,1,0,5.5,0.4139155701867915,2367,0.40298240229389864,Night-A,Bay-2,37,0,27.23,0,2025-08-04,0.191,0,Service
2025-08-23,KM-T110,Tripunithura Depot,33,29,7,0,0,14.4,12.793139006569506,1921,0.29978404819911486,Night-A,Bay-4,13,0,28.18,0,2025-08-15,0.155,0,Standby
2025-08-23,KM-T111,Tripunithura Depot,10,25,-1,0,0,15.6,6.164140395199395,1556,0.19156896016034058,No-Clean,Bay-1,32,0,25.71,0,2025-07-05,0.267,0,IBL
2025-08-23,KM-T112,Tripunithura Depot,-7,18,19,3,1,9.2,14.951729637927908,2093,0.20702613342296738,No-Clean,Bay-2,33,2,27.14,0,2025-05-29,0.242,0,IBL
2025-08-23,KM-T113,Pettah Depot,7,1,21,0,0,6.7,5.012738307180554,2302,0.11953944415877327,Night-A,Bay-8,36,1,27.98,0,2025-06-18,0.092,0,Service
2025-08-23,KM-T114,Tripunithura Depot,9,14,11,0,0,4.9,12.22771352403585,2142,0.37176954833061227,No-Clean,Bay-4,20,1,27.66,0,2025-08-07,0.18,1,Standby
2025-08-23,KM-T115,Pettah Depot,48,11,10,0,0,0.4,16.561872814041624,1312,0.20985583173453795,Night-A,Bay-2,21,0,26.69,0,2025-08-22,0.123,1,Service
2025-08-23,KM-T116,Tripunithura Depot,70,41,-2,1,0,0.2,0.0,1642,0.21797318226044754,Night-A,Bay-7,19,1,23.86,0,2025-05-15,0.276,1,IBL
2025-08-23,KM-T117,Pettah Depot,29,65,20,0,0,1.1,10.050928358177325,2154,0.2358278330078849,Night-B,Bay-3,17,2,30.17,0,2025-06-10,0.133,0,Standby
2025-08-23,KM-T118,Pettah Depot,17,0,17,2,1,6.2,11.595730884444816,1744,0.10685216172300495,Night-B,Bay-11,29,1,27.87,0,2025-06-11,0.207,1,IBL
2025-08-23,KM-T119,Pettah Depot,15,29,21,2,0,10.9,9.702854362190234,1486,0.19893895048155408,Night-A,Bay-6,17,0,26.55,0,2025-08-04,0.12,0,Service
2025-08-23,KM-T120,Pettah Depot,66,42,-5,2,0,12.0,10.347426744318243,1802,0.12339902801835197,No-Clean,Bay-11,35,2,27.74,0,2025-08-14,0.243,0,IBL
2025-08-23,KM-T121,Tripunithura Depot,51,14,8,0,0,12.4,8.55000326649124,2308,0.3152010388890699,Night-A,Bay-2,16,0,26.93,0,2025-05-10,0.16,0,Service
2025-08-23,KM-T122,Tripunithura Depot,17,-2,5,2,1,12.8,16.13669511823192,1868,0.03935151228239639,Night-A,Bay-4,30,1,27.08,0,2025-07-23,0.184,1,IBL
2025-08-23,KM-T123,Tripunithura Depot,56,10,14,0,0,5.4,0.7821362380169632,1742,0.07357990626245031,Night-A,Bay-9,21,0,24.51,0,2025-04-28,0.076,0,Service
2025-08-23,KM-T124,Tripunithura Depot,42,49,24,1,0,0.4,5.3298588755897525,1773,0.3104003150713245,No-Clean,Bay-1,23,1,28.86,0,2025-08-17,0.159,0,Service
2025-08-23,KM-T125,Pettah Depot,34,26,35,1,0,3.9,3.483021227588835,2002,0.1453264583107132,Night-B,Bay-12,16,1,26.6,0,2025-05-07,0.101,0,Standby
2025-08-23,KM-T126,Tripunithura Depot,7,18,33,0,0,2.2,0.5076624433513615,2193,0.4926766703041154,No-Clean,Bay-2,27,1,23.74,0,2025-07-03,0.222,0,Service
2025-08-23,KM-T127,Tripunithura Depot,52,20,17,1,0,9.3,0.4057225109715141,1703,0.03230732078411078,Night-A,Bay-3,25,2,28.61,0,2025-06-02,0.061,0,Standby
2025-08-23,KM-T128,Pettah Depot,-1,19,16,1,0,12.8,10.060786222184344,1246,0.3604369240663985,No-Clean,Bay-8,53,1,26.53,0,2025-08-09,0.176,0,IBL
2025-08-23,KM-T129,Pettah Depot,45,31,11,1,1,11.8,2.4394412641423733,2157,0.34653004775822366,Night-A,Bay-1,20,1,23.83,0,2025-05-15,0.291,0,IBL
2025-08-23,KM-T130,Pettah Depot,19,51,11,0,0,9.1,6.3325271742388765,1680,0.1974789731546207,Night-B,Bay-6,17,0,26.27,0,2025-05-20,0.119,0,Service
2025-08-23,KM-T131,Tripunithura Depot,31,39,15,4,0,7.6,15.48692987841918,2088,0.10093579715305395,Night-A,Bay-10,22,2,27.21,0,2025-08-17,0.085,0,Standby
2025-08-23,KM-T132,Pettah Depot,48,12,26,3,0,6.6,4.808344068500148,1545,0.21032381423423685,Night-B,Bay-12,23,1,27.17,0,2025-05-30,0.124,0,Service
2025-08-23,KM-T133,Pettah Depot,42,27,25,2,0,14.4,10.872331001176665,1288,0.03340480825428448,No-Clean,Bay-7,16,0,27.08,0,2025-06-14,0.062,1,Service
2025-08-23,KM-T134,Tripunithura Depot,10,15,22,3,1,5.0,4.28094915606011,2169,0.36028081451768396,Night-B,Bay-4,52,1,25.6,0,2025-06-16,0.296,0,IBL
2025-08-23,KM-T135,Tripunithura Depot,55,41,-3,1,0,14.5,8.953420868149482,1986,0.23509642599195146,Night-A,Bay-8,54,0,27.19,0,2025-06-08,0.282,0,IBL
2025-08-23,KM-T136,Tripunithura Depot,52,35,8,0,0,1.7,13.731088404775818,1797,0.16467896983146746,Night-A,Bay-6,55,1,27.79,0,2025-07-02,0.108,0,Standby
2025-08-23,KM-T137,Tripunithura Depot,23,5,-2,3,0,14.6,3.757949422617753,1028,0.08494723811766788,Night-A,Bay-11,12,1,27.78,0,2025-05-23,0.23,0,IBL
2025-08-23,KM-T138,Pettah Depot,6,2,-1,0,0,7.5,9.405531325683707,1363,0.37836529499635985,No-Clean,Bay-2,6,1,28.64,0,2025-08-22,0.332,0,IBL
2025-08-23,KM-T139,Pettah Depot,11,39,16,4,0,8.8,3.361638575220206,2170,0.2928882078225017,Night-A,Bay-3,26,4,28.47,0,2025-04-29,0.153,0,Standby
2025-08-23,KM-T140,Pettah Depot,39,17,19,3,0,4.2,5.378169918029222,1495,0.0583762406153759,Night-B,Bay-9,3,2,26.18,0,2025-04-25,0.07,1,Service
2025-08-24,KM-T101,Pettah Depot,4,27,18,0,0,15.5,15.28972599041881,2438,0.18272166812250798,Night-B,Bay-12,25,1,26.36,0,2025-08-08,0.114,0,Service
2025-08-24,KM-T102,Tripunithura Depot,28,-3,8,2,0,1.0,14.843868445719346,2215,0.15876892536473253,No-Clean,Bay-12,18,1,26.99,0,2025-08-21,0.106,0,Service
2025-08-24,KM-T103,Pettah Depot,17,23,12,3,1,5.2,8.196924954742597,2396,0.28972234929908297,No-Clean,Bay-5,30,1,27.13,0,2025-07-09,0.271,0,IBL
2025-08-24,KM-T104,Tripunithura Depot,13,33,27,1,0,5.7,4.2147571336959295,2309,0.19484159509710502,No-Clean,Bay-8,36,0,29.59,0,2025-05-16,0.118,0,Service
2025-08-24,KM-T105,Tripunithura Depot,34,49,14,2,0,0.4,2.0469498754345468,2591,0.2528987833149082,Night-B,Bay-5,18,1,24.76,0,2025-06-25,0.139,0,Service
2025-08-24,KM-T106,Tripunithura Depot,-3,38,13,1,0,6.7,12.863125372067163,1890,0.1569218161934795,Night-A,Bay-9,8,0,25.47,0,2025-06-22,0.105,0,IBL
2025-08-24,KM-T107,Pettah Depot,36,19,17,3,1,15.5,14.541639052171508,1402,0.3437053762748452,Night-A,Bay-11,25,0,30.69,0,2025-05-18,0.29,0,IBL
2025-08-24,KM-T108,Tripunithura Depot,-22,48,40,0,0,5.9,5.226232845468539,2394,0.152368311338423,No-Clean,Bay-1,25,2,25.2,0,2025-05-25,0.103,0,IBL
2025-08-24,KM-T109,Pettah Depot,5,30,3,0,0,5.5,1.2792324722071715,2655,0.40977983732416334,Night-A,Bay-2,37,0,27.23,0,2025-08-04,0.193,0,Service
2025-08-24,KM-T110,Tripunithura Depot,32,28,6,0,0,14.4,13.55723508506578,2122,0.3061209146808551,Night-A,Bay-4,13,0,28.18,0,2025-08-15,0.157,0,Standby
2025-08-24,KM-T111,Tripunithura Depot,9,24,-2,0,0,15.6,4.627688654709166,1749,0.19833369558744396,No-Clean,Bay-1,32,0,25.71,0,2025-07-05,0.269,0,IBL
2025-08-24,KM-T112,Tripunithura Depot,-8,17,18,3,0,9.2,13.761081065749208,2339,0.21798085617908164,No-Clean,Bay-2,33,2,27.14,0,2025-05-29,0.126,0,IBL
2025-08-24,KM-T113,Pettah Depot,6,0,20,0,0,6.7,5.8991865041968135,2567,0.13303807459134454,Night-A,Bay-8,36,1,27.98,0,2025-06-18,0.097,0,Service
2025-08-24,KM-T114,Tripunithura Depot,8,13,10,0,0,4.9,9.933737184002265,2399,0.3888584293323766,No-Clean,Bay-4,20,1,27.66,0,2025-08-07,0.186,1,Service
2025-08-24,KM-T115,Pettah Depot,47,10,9,0,0,0.4,16.685103086956286,1493,0.21821004825198262,Night-A,Bay-2,21,0,26.69,0,2025-08-22,0.126,1,Service
2025-08-24,KM-T116,Tripunithura Depot,69,40,-3,1,0,0.2,0.7094618174298554,1886,0.2320669763267122,Night-A,Bay-7,19,1,23.86,0,2025-05-15,0.281,1,IBL
2025-08-24,KM-T117,Pettah Depot,28,64,19,0,0,1.1,9.942890658388075,2450,0.24265426167476403,Night-B,Bay-3,17,2,30.17,0,2025-06-10,0.135,0,Service
2025-08-24,KM-T118,Pettah Depot,16,-1,16,2,0,6.2,11.526940038009938,1954,0.1194442896656086,Night-B,Bay-11,29,1,27.87,0,2025-06-11,0.092,1,Service
2025-08-24,KM-T119,Pettah Depot,14,28,20,2,0,10.9,11.342343021607736,1748,0.2097358630989413,Night-A,Bay-6,17,0,26.55,0,2025-08-04,0.123,0,Service
2025-08-24,KM-T120,Pettah Depot,65,41,-6,2,0,12.0,10.248134034276587,1990,0.13053276854865992,No-Clean,Bay-11,35,2,27.74,0,2025-08-14,0.246,0,IBL
2025-08-24,KM-T121,Tripunithura Depot,50,13,7,0,0,12.4,7.957175329111751,2491,0.3296988832792719,Night-A,Bay-2,16,0,26.93,0,2025-05-10,0.165,0,Standby
2025-08-24,KM-T122,Tripunithura Depot,16,-3,4,2,0,12.8,15.629362342843374,2148,0.05765057551100339,Night-A,Bay-4,30,1,27.08,0,2025-07-23,0.07,1,Standby
2025-08-24,KM-T123,Tripunithura Depot,55,9,13,0,0,5.4,2.151577214441067,2007,0.09303724039468558,Night-A,Bay-9,21,0,24.51,0,2025-04-28,0.083,0,Service
2025-08-24,KM-T124,Tripunithura Depot,41,48,23,2,1,0.4,4.945826697709612,1957,0.31862834315158306,No-Clean,Bay-1,23,1,28.86,0,2025-08-17,0.282,0,IBL
2025-08-24,KM-T125,Pettah Depot,33,25,34,1,0,3.9,2.796105471796347,2217,0.1558975868254653,Night-B,Bay-12,16,1,26.6,0,2025-05-07,0.105,0,Service
2025-08-24,KM-T126,Tripunithura Depot,6,17,32,0,0,2.2,0.04944592405078613,2454,0.5048169422446469,No-Clean,Bay-2,27,1,23.74,0,2025-07-03,0.227,0,Standby
2025-08-24,KM-T127,Tripunithura Depot,51,19,16,1,0,9.3,0.20791782507500778,1987,0.03883956372897385,Night-A,Bay-3,25,2,28.61,0,2025-06-02,0.064,0,Standby
2025-08-24,KM-T128,Pettah Depot,-2,18,15,1,0,12.8,9.681028882204101,1453,0.3749949462185227,No-Clean,Bay-8,53,1,26.53,0,2025-08-09,0.181,0,IBL
2025-08-24,KM-T129,Pettah Depot,44,30,10,1,0,11.8,3.2324976447998024,2424,0.36476693936506516,Night-A,Bay-1,20,1,23.83,0,2025-05-15,0.178,0,Service
2025-08-24,KM-T130,Pettah Depot,18,50,10,0,0,9.1,7.5602794340581765,1879,0.2135415985465058,Night-B,Bay-6,17,0,26.27,0,2025-05-20,0.125,0,Service
2025-08-24,KM-T131,Tripunithura Depot,30,38,14,4,1,7.6,15.360990905472345,2295,0.11125841755690731,Night-A,Bay-10,22,2,27.21,0,2025-08-17,0.209,0,IBL
2025-08-24,KM-T132,Pettah Depot,47,11,25,3,0,6.6,4.090858882419066,1805,0.21975548589639815,Night-B,Bay-12,23,1,27.17,0,2025-05-30,0.127,0,Service
2025-08-24,KM-T133,Pettah Depot,41,26,24,2,1,14.4,10.091310571911775,1545,0.03944362284857238,No-Clean,Bay-7,16,0,27.08,0,2025-06-14,0.184,1,IBL
2025-08-24,KM-T134,Tripunithura Depot,9,14,21,3,1,5.0,3.9104428543705914,2361,0.37401715439079264,Night-B,Bay-4,52,1,25.6,0,2025-06-16,0.301,0,IBL
2025-08-24,KM-T135,Tripunithura Depot,54,40,-4,2,0,14.5,7.838945041278137,2205,0.24907439962721695,Night-A,Bay-8,54,0,27.19,0,2025-06-08,0.287,0,IBL
2025-08-24,KM-T136,Tripunithura Depot,51,34,7,0,0,1.7,13.362108959665896,2020,0.17264102717936652,Night-A,Bay-6,55,1,27.79,0,2025-07-02,0.11,0,Standby
2025-08-24,KM-T137,Tripunithura Depot,22,4,-3,3,0,14.6,2.4643907834504546,1320,0.09382371242204515,Night-A,Bay-11,12,1,27.78,0,2025-05-23,0.233,0,IBL
2025-08-24,KM-T138,Pettah Depot,5,1,-2,0,0,7.5,9.639668872797003,1564,0.3981353410892275,No-Clean,Bay-2,6,1,28.64,0,2025-08-22,0.339,0,IBL
2025-08-24,KM-T139,Pettah Depot,10,38,15,4,0,8.8,2.38788892726213,2428,0.29926627113815235,Night-A,Bay-3,26,4,28.47,0,2025-04-29,0.155,0,Service
2025-08-24,KM-T140,Pettah Depot,38,16,18,3,1,4.2,3.6055597897134004,1792,0.07185157050826114,Night-B,Bay-9,3,2,26.18,0,2025-04-25,0.195,1,IBL
2025-08-25,KM-T101,Pettah Depot,3,26,17,0,0,15.5,14.934414104300878,2723,0.19609230299974248,Night-B,Bay-12,25,1,26.36,0,2025-08-08,0.119,0,Service
2025-08-25,KM-T102,Tripunithura Depot,27,-4,7,2,0,1.0,15.454112821324092,2483,0.17209519960426684,No-Clean,Bay-12,18,1,26.99,0,2025-08-21,0.11,0,Service
2025-08-25,KM-T103,Pettah Depot,16,22,11,3,0,5.2,9.023919343859914,2661,0.30744306616604455,No-Clean,Bay-5,30,1,27.13,0,2025-07-09,0.158,0,Standby
2025-08-25,KM-T104,Tripunithura Depot,12,32,26,1,0,5.7,5.012559806745346,2558,0.21299135652452802,No-Clean,Bay-8,36,0,29.59,0,2025-05-16,0.125,0,Service
2025-08-25,KM-T105,Tripunithura Depot,33,48,13,3,0,0.4,1.6529685121321256,2807,0.2678444133824156,Night-B,Bay-5,18,1,24.76,0,2025-06-25,0.144,0,Standby
2025-08-25,KM-T106,Tripunithura Depot,-4,37,12,2,0,6.7,12.451299217748243,2162,0.17155669908205792,Night-A,Bay-9,8,0,25.47,0,2025-06-22,0.11,0,IBL
2025-08-25,KM-T107,Pettah Depot,35,18,16,2,0,15.5,13.549296212296657,1615,0.35769591075978924,Night-A,Bay-11,25,0,30.69,0,2025-05-18,0.175,0,Standby
2025-08-25,KM-T108,Tripunithura Depot,-23,47,39,0,0,5.9,5.612117228552865,2690,0.16919753580850908,No-Clean,Bay-1,25,2,25.2,0,2025-05-25,0.109,0,IBL
2025-08-25,KM-T109,Pettah Depot,4,29,2,0,0,5.5,1.8969028404729202,2889,0.4183177013113186,Night-A,Bay-2,37,0,27.23,0,2025-08-04,0.346,0,Service
2025-08-25,KM-T110,Tripunithura Depot,31,27,5,0,0,14.4,14.255484998843597,2371,0.3206635751514786,Night-A,Bay-4,13,0,28.18,0,2025-08-15,0.162,0,Service
2025-08-25,KM-T111,Tripunithura Depot,8,23,-3,0,0,15.6,5.345678964625337,1937,0.21758838688140283,No-Clean,Bay-1,32,0,25.71,0,2025-07-05,0.276,0,IBL
2025-08-25,KM-T112,Tripunithura Depot,-9,16,17,4,0,9.2,15.436628459293694,2627,0.23471958527685172,No-Clean,Bay-2,33,2,27.14,0,2025-05-29,0.132,0,IBL
2025-08-25,KM-T113,Pettah Depot,5,-1,19,0,0,6.7,5.871671599146177,2830,0.1500777242382802,Night-A,Bay-8,36,1,27.98,0,2025-06-18,0.103,0,Standby
2025-08-25,KM-T114,Tripunithura Depot,7,12,9,0,0,4.9,11.705988780672008,2632,0.3972367848664039,No-Clean,Bay-4,20,1,27.66,0,2025-08-07,0.189,1,Service
2025-08-25,KM-T115,Pettah Depot,46,9,8,0,0,0.4,17.0401255413778,1696,0.22406586906925144,Night-A,Bay-2,21,0,26.69,0,2025-08-22,0.128,1,Standby
2025-08-25,KM-T116,Tripunithura Depot,68,39,-4,1,1,0.2,0.4883487221413536,2171,0.24973881787100252,Night-A,Bay-7,19,1,23.86,1,2025-05-15,0.407,1,IBL
2025-08-25,KM-T117,Pettah Depot,27,63,18,0,0,1.1,10.679734555480508,2736,0.24974294224152796,Night-B,Bay-3,17,2,30.17,1,2025-06-10,0.137,0,Standby
2025-08-25,KM-T118,Pettah Depot,15,-2,15,2,1,6.2,11.245612480891724,2148,0.1376763238798395,Night-B,Bay-11,29,1,27.87,0,2025-06-11,0.218,1,IBL
2025-08-25,KM-T119,Pettah Depot,13,27,19,2,0,10.9,11.808773004041262,1948,0.218583814035605,Night-A,Bay-6,17,0,26.55,0,2025-08-04,0.127,0,Service
2025-08-25,KM-T120,Pettah Depot,64,40,-7,2,0,12.0,10.212492551979103,2219,0.14633288914360662,No-Clean,Bay-11,35,2,27.74,0,2025-08-14,0.251,0,IBL
2025-08-25,KM-T121,Tripunithura Depot,49,12,6,0,0,12.4,8.336657386277258,2731,0.3476009786795134,Night-A,Bay-2,16,0,26.93,0,2025-05-10,0.172,0,Service
2025-08-25,KM-T122,Tripunithura Depot,15,-4,3,2,0,12.8,17.44086715543689,2412,0.06476496992382992,Night-A,Bay-4,30,1,27.08,0,2025-07-23,0.073,1,Standby
2025-08-25,KM-T123,Tripunithura Depot,54,8,12,0,0,5.4,1.5043365764530208,2262,0.09897133698291387,Night-A,Bay-9,21,0,24.51,0,2025-04-28,0.085,0,Service
2025-08-25,KM-T124,Tripunithura Depot,40,47,22,2,0,0.4,4.886944887806887,2156,0.3318010595378508,No-Clean,Bay-1,23,1,28.86,0,2025-08-17,0.166,0,Service
